iteration,distance,ee_x,ee_y,ee_z,target_x,target_y,target_z,error_x,error_y,error_z,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9
0,0.843469027291459,0.08799999999999993,0.0,0.926,0.5,0.0,0.19,0.4120000000000001,0.0,-0.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1,0.8239489138398475,0.12171788479256213,0.0,0.9219798179813778,0.5,0.0,0.19,0.3782821152074379,0.0,-0.7319798179813779,0.0,0.024726719999999997,0.0,-0.0698,0.0,-0.0016547199999999993,0.0,0.0,0.0,0.5
2,0.8128255649041434,0.13903714147621765,0.0,0.9182796260558712,0.5,0.0,0.19,0.36096285852378235,0.0,-0.7282796260558713,0.0,0.04967836532128202,0.0,-0.07996622700630854,0.0,-0.0027034454413976915,0.0,0.0,0.0,0.5
3,0.8014791221400271,0.1563250313406866,0.0,0.9140554530858589,0.5,0.0,0.19,0.3436749686593134,0.0,-0.724055453085859,0.0,0.07468013526200479,0.0,-0.09025745334263957,0.0,-0.00356487587034677,0.0,0.0,0.0,0.5
4,0.7899190211710353,0.17354921305217036,0.0,0.9093065714345652,0.5,0.0,0.19,0.32645078694782964,0.0,-0.7193065714345652,0.0,0.0997107117439766,0.0,-0.1006622484924922,0.0,-0.004244651087478329,0.0,0.0,0.0,0.5
5,0.7781557955014948,0.1906770081935122,0.0,0.904034823249152,0.5,0.0,0.19,0.3093229918064878,0.0,-0.714034823249152,0.0,0.12474837759867602,0.0,-0.11116872131805967,0.0,-0.004748714131176878,0.0,0.0,0.0,0.5
6,0.7662010352205244,0.2076756605938451,0.0,0.8982446660326914,0.5,0.0,0.19,0.2923243394061549,0.0,-0.7082446660326913,0.0,0.14977111550237587,0.0,-0.12176457832197814,0.0,-0.005083289115651888,0.0,0.0,0.0,0.5
7,0.7540673334148805,0.22451260289274633,0.0,0.891943186702812,0.5,0.0,0.19,0.2754873971072537,0.0,-0.7019431867028121,0.0,0.17475671170087712,0.0,-0.13243718666005194,0.0,-0.005254856632474577,0.0,0.0,0.0,0.5
8,0.7417682207588799,0.24115572584845713,0.0,0.8851400830528731,0.5,0.0,0.19,0.2588442741515429,0.0,-0.6951400830528731,0.0,0.1996828633460826,0.0,-0.14317364116483827,0.0,-0.005270126949547061,0.0,0.0,0.0,0.5
9,0.7293180890089176,0.2575736457164175,0.0,0.8778476122691641,0.5,0.0,0.19,0.2424263542835825,0.0,-0.6878476122691641,0.0,0.22452728817190387,0.0,-0.15396083454933565,0.0,-0.005136011284392342,0.0,0.0,0.0,0.5
10,0.7167321043769953,0.27373596497788355,0.0,0.870080506925604,0.5,0.0,0.19,0.22626403502211645,0.0,-0.680080506925604,0.0,0.24926783516966625,0.0,-0.1647855298875831,0.0,-0.004859591466234383,0.0,0.0,0.0,0.5
11,0.7040261119833436,0.2896135217939736,0.0,0.861855859647327,0.5,0.0,0.19,0.2103864782060264,0.0,-0.671855859647327,0.0,0.2738825948860374,0.0,-0.1756344344174324,0.0,-0.00444808833234101,0.0,0.0,0.0,0.5
12,0.6912165327844833,0.30517862379692884,0.0,0.8531929783772925,0.5,0.0,0.19,0.19482137620307116,0.0,-0.6631929783772925,0.0,0.29835000796125355,0.0,-0.18649427368204535,0.0,-0.003908829227509189,0.0,0.0,0.0,0.5
13,0.6783202545328175,0.3204052621998932,0.0,0.8441132148672562,0.5,0.0,0.19,0.17959473780010682,0.0,-0.6541132148672562,0.0,0.3226489705525821,0.0,-0.19735186502186972,0.0,-0.003249214990632145,0.0,0.0,0.0,0.5
14,0.665354518441589,0.3352693026952128,0.0,0.834639769620303,0.5,0.0,0.19,0.16473069730478718,0.0,-0.644639769620303,0.0,0.34675893534683916,0.0,-0.20819418944811535,0.0,-0.0024766868185545424,0.0,0.0,0.0,0.5
15,0.6523368033008372,0.3497486501997656,0.0,0.8247974770144906,0.5,0.0,0.19,0.1502513498002344,0.0,-0.6347974770144906,0.0,0.37066000695448453,0.0,-0.21900846097131108,0.0,-0.0015986933947768223,0.0,0.0,0.0,0.5
16,0.6392847088141758,0.36382338517053125,0.0,0.8146125747190909,0.5,0.0,0.19,0.13617661482946875,0.0,-0.6246125747190909,0.0,0.39433303059334945,0.0,-0.22978219252270507,0.0,-0.0006226586592213798,0.0,0.0,0.0,0.5
17,0.6262158399027884,0.37747586992793986,0.0,0.8041124617651392,0.5,0.0,0.19,0.12252413007206014,0.0,-0.6141124617651392,0.0,0.41775967310846396,0.0,-0.240503257689618,0.0,0.0004440494242551566,0.0,0.0,0.0,0.5
18,0.6131476936543128,0.39069082416053547,0.0,0.7933254497457406,0.5,0.0,0.19,0.10930917583946453,0.0,-0.6033254497457405,0.0,0.4409224955310452,0.0,-0.25115994758524396,0.0,0.0015941487728223216,0.0,0.0,0.0,0.5
19,0.6000975504840382,0.40345536951436145,0.0,0.782280511600149,0.5,0.0,0.19,0.09654463048563855,0.0,-0.592280511600149,0.0,0.4638050165492713,0.0,-0.26174102228520485,0.0,0.002820471465562809,0.0,0.0,0.0,0.5
20,0.5870823709296427,0.41575904386807466,0.0,0.7710070322864857,0.5,0.0,0.19,0.08424095613192534,0.0,-0.5810070322864858,0.0,0.48639176644052157,0.0,-0.2722357563834746,0.0,0.004115990142083964,0.0,0.0,0.0,0.5
21,0.5741186993250785,0.4275937865368743,0.0,0.7595345653835702,0.5,0.0,0.19,0.0724062134631257,0.0,-0.5695345653835702,0.0,0.5086683311938318,0.0,-0.2826339783450665,0.0,0.00547384230276295,0.0,0.0,0.0,0.5
22,0.5612225754015916,0.4389538962156245,0.0,0.747892599299491,0.5,0.0,0.19,0.06104610378437553,0.0,-0.557892599299491,0.0,0.5306213867271564,0.0,-0.2929261034581606,0.0,0.006887352339018296,0.0,0.0,0.0,0.5
23,0.5484094546519928,0.4498359639494199,0.0,0.7361103363229927,0.5,0.0,0.19,0.05016403605058012,0.0,-0.5461103363229927,0.0,0.5522387232718428,0.0,-0.3031031603104281,0.0,0.008350051167472207,0.0,0.0,0.0,0.5
24,0.5356941380759193,0.4602387837986607,0.0,0.7242164872550195,0.5,0.0,0.19,0.03976121620133932,0.0,-0.5342164872550195,0.0,0.5735092601523438,0.0,-0.3131568108298673,0.0,0.009855693387010651,0.0,0.0,0.0,0.5
25,0.5230907117062299,0.47016324414088784,0.0,0.7122390838238113,0.5,0.0,0.19,0.029836755859112163,0.0,-0.5222390838238113,0.0,0.5944230513292013,0.0,-0.32307936403669013,0.0,0.01139827192136296,0.0,0.0,0.0,0.5
26,0.5106124961065612,0.4796122027233328,0.0,0.7002053105391776,0.5,0.0,0.19,0.020387797276667174,0.0,-0.5102053105391775,0.0,0.6149712821951254,0.0,-0.3328637837474511,0.0,0.012972030150866398,0.0,0.0,0.0,0.5
27,0.4982720058331246,0.4885903486527715,0.0,0.6881413570996691,0.5,0.0,0.19,0.011409651347228489,0.0,-0.49814135709966906,0.0,0.6351462582158475,0.0,-0.3425036905540786,0.0,0.014571471574694177,0.0,0.0,0.0,0.5
28,0.4860809186746751,0.49710405449075545,0.0,0.6760722919476316,0.5,0.0,0.19,0.0028959455092445463,0.0,-0.48607229194763163,0.0,0.6549413860884219,0.0,-0.35199335846775226,0.0,0.016191367078347257,0.0,0.0,0.0,0.5
29,0.4740500543267327,0.5051612215232729,0.0,0.6640219570859202,0.5,0.0,0.19,-0.005161221523272919,0.0,-0.47402195708592015,0.0,0.6743511481497014,0.0,-0.36132770667026176,0.0,0.017826759910182854,0.0,0.0,0.0,0.5
30,0.46218936202185407,0.5127711211068617,0.0,0.652012883837499,0.5,0.0,0.19,-0.012771121106861738,0.0,-0.462012883837499,0.0,0.6933710708073645,0.0,-0.3705022868537097,0.0,0.019472968494914304,0.0,0.0,0.0,0.5
31,0.45050791652824795,0.5199442347716909,0.0,0.6400662288530372,0.5,0.0,0.19,-0.01994423477169094,0.0,-0.4500662288530372,0.0,0.711997687786327,0.0,-0.3795132666537787,0.0,0.021125587231289072,0.0,0.0,0.0,0.5
32,0.4390139218444428,0.5266920954998963,0.0,0.6282017293565407,0.5,0.0,0.19,-0.026692095499896262,0.0,-0.4382017293565407,0.0,0.7302284989862367,0.0,-0.38835740969323684,0.0,0.022780485435615786,0.0,0.0,0.0,0.5
33,0.42771472185735276,0.5330271323079095,0.0,0.6164376763666978,0.5,0.0,0.19,-0.033027132307909546,0.0,-0.42643767636669777,0.0,0.7480619257330171,0.0,-0.39703205275216585,0.0,0.024433804602686182,0.0,0.0,0.0,0.5
34,0.41661681719347926,0.538962519957051,0.0,0.6047909044410464,0.5,0.0,0.19,-0.03896251995705102,0.0,-0.41479090444104644,0.0,0.7654972631812875,0.0,-0.4055350805710228,0.0,0.026081954161250608,0.0,0.0,0.0,0.5
35,0.40572588747619387,0.5445120353084185,0.0,0.5932767963583415,0.5,0.0,0.19,-0.04451203530841852,0.0,-0.4032767963583415,0.0,0.782534630587238,0.0,-0.41386489877365035,0.0,0.027721605902964807,0.0,0.0,0.0,0.5
36,0.3950468182036191,0.549689921535571,0.0,0.58190930107691,0.5,0.0,0.19,-0.04968992153557095,0.0,-0.39190930107690997,0.0,0.7991749201255,0.0,-0.4220204053713539,0.0,0.02934968726209324,0.0,0.0,0.0,0.5
37,0.3845837314790091,0.5545107611195217,0.0,0.5707009632775953,0.5,0.0,0.19,-0.05451076111952169,0.0,-0.38070096327759534,0.0,0.8154197448709433,0.0,-0.4300009612777324,0.0,0.030963373618722336,0.0,0.0,0.0,0.5
38,0.3743400198560086,0.5589893582811533,0.0,0.5596629628125797,0.5,0.0,0.19,-0.05898935828115326,0.0,-0.36966296281257965,0.0,0.8312713865092544,0.0,-0.4378063602285987,0.0,0.0325600797913054,0.0,0.0,0.0,0.5
39,0.3643183826020279,0.5631406312607532,0.0,0.5488051624290698,0.5,0.0,0.19,-0.0631406312607532,0.0,-0.35880516242906985,0.0,0.846732743280494,0.0,-0.44543679846342743,0.0,0.034137450875518685,0.0,0.0,0.0,0.5
40,0.3545208637317072,0.5669795146357595,0.0,0.5381361622127667,0.5,0.0,0.19,-0.06697951463575946,0.0,-0.3481361622127667,0.0,0.8618072785992797,0.0,-0.45289284448556383,0.0,0.03569335257611957,0.0,0.0,0.0,0.5
41,0.3449488912166365,0.5705208716775136,0.0,0.5276633592935879,0.5,0.0,0.19,-0.07052087167751364,0.0,-0.3376633592935879,0.0,0.8764989707352235,0.0,-0.46017540917898697,0.0,0.03722586116719255,0.0,0.0,0.0,0.5
42,0.3356033168350469,0.5737794165861031,0.0,0.5173930114692419,0.5,0.0,0.19,-0.0737794165861031,0.0,-0.3273930114692419,0.0,0.8908122638789578,0.0,-0.46728571652064543,0.0,0.03873325320423046,0.0,0.0,0.0,0.5
43,0.32648445618423355,0.5767696463086391,0.0,0.5073303035254609,0.5,0.0,0.19,-0.07676964630863914,0.0,-0.31733030352546093,0.0,0.9047520208634725,0.0,-0.4742252750900087,0.0,0.04021399509926736,0.0,0.0,0.0,0.5
44,0.3175921284374178,0.5795057815391564,0.0,0.49747941516019767,0.5,0.0,0.19,-0.07950578153915644,0.0,-0.30747941516019767,0.0,0.9183234777582617,0.0,-0.4809958505420709,0.0,0.04166673265804186,0.0,0.0,0.0,0.5
