iteration,distance,ee_x,ee_y,ee_z,target_x,target_y,target_z,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9
0,0.843469027291459,0.08799999999999993,0.0,0.926,0.5,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1,0.8217230371220134,0.12298452917346488,1.7331525840801138e-16,0.9201288136311783,0.5,0.0,0.19,5.077421151316861e-16,0.03,5.077421151316861e-16,-0.0698,5.077421151316861e-16,-0.0175,0.0,0.0,0.0,0.5
2,0.8102729536266285,0.14054041273410522,5.964163526156277e-16,0.916175643010321,0.5,0.0,0.19,1.884661368814851e-15,0.06,1.650497202594037e-15,-0.0698,1.7754300746110854e-15,-0.0175,-1.9023756538196525e-31,0.0,0.0,0.5
3,0.798643943039224,0.15796981940947813,1.2460343416061021e-15,0.9116976536739291,0.5,0.0,0.19,3.795983322848262e-15,0.09,2.8972470516784965e-15,-0.0698,2.5921257183741235e-15,-0.0175,-1.9023756538196525e-31,0.0,0.0,0.5
4,0.7868387717301756,0.17525706391002546,1.697485240479511e-15,0.9066988755101505,0.5,0.0,0.19,5.775616920258377e-15,0.12,4.079597530556226e-15,-0.0698,3.692438716780735e-15,-0.0175,8.86308330032618e-19,0.0,0.0,0.5
5,0.7748602571785793,0.1923865888825506,2.5128668579540513e-15,0.9011838070819251,0.5,0.0,0.19,8.25840738506975e-15,0.15,5.18608767311125e-15,-0.0698,3.815874110274163e-15,-0.0175,8.863083300344361e-19,0.0,0.0,0.5
6,0.7627112684447906,0.2093429789107867,2.917982515678849e-15,0.8951574115785824,0.5,0.0,0.19,9.568236871391624e-15,0.18,5.0957887811570035e-15,-0.0698,3.545494507266644e-15,-0.0175,6.547151255247333e-18,0.0,0.0,0.5
7,0.7503947267642844,0.22611097438823025,2.6817227105881534e-15,0.8886251123493059,0.5,0.0,0.19,8.984771996576867e-15,0.21,4.279766289791856e-15,-0.0698,2.6426869907694507e-15,-0.0175,6.547151255251534e-18,0.0,0.0,0.5
8,0.7379136062816888,0.24267548525075727,2.2671079687502513e-15,0.881592788022485,0.5,0.0,0.19,7.43528301399812e-15,0.24,2.9340579186036876e-15,-0.0698,1.0889469951282714e-15,-0.0175,6.547151255254196e-18,0.0,0.0,0.5
9,0.725270934947003,0.2590216045566624,1.3504246894519928e-15,0.874066767215346,0.5,0.0,0.19,4.750676786765643e-15,0.27,1.5099562069525164e-15,-0.0698,-4.287337015097231e-16,-0.0175,6.547151255257744e-18,0.0,0.0,0.5
