frame,time,mean_abs_qpos_error,ee_target_distance,ee_x,ee_y,ee_z,target_x,target_y,target_z,joint_0_target_qpos,joint_0_current_qpos,joint_0_current_qvel,joint_0_ctrl,joint_0_qpos_error,joint_1_target_qpos,joint_1_current_qpos,joint_1_current_qvel,joint_1_ctrl,joint_1_qpos_error,joint_2_target_qpos,joint_2_current_qpos,joint_2_current_qvel,joint_2_ctrl,joint_2_qpos_error,joint_3_target_qpos,joint_3_current_qpos,joint_3_current_qvel,joint_3_ctrl,joint_3_qpos_error,joint_4_target_qpos,joint_4_current_qpos,joint_4_current_qvel,joint_4_ctrl,joint_4_qpos_error,joint_5_target_qpos,joint_5_current_qpos,joint_5_current_qvel,joint_5_ctrl,joint_5_qpos_error,joint_6_target_qpos,joint_6_current_qpos,joint_6_current_qvel,joint_6_ctrl,joint_6_qpos_error,joint_7_target_qpos,joint_7_current_qpos,joint_7_current_qvel,joint_7_ctrl,joint_7_qpos_error
0,0.11000000000000008,0.2545170627446771,0.839427438730345,0.12916140725846884,4.41743542680336e-05,0.9429581086303633,0.5,8.326672684688691e-21,0.18988629195183818,-2.5319196332355315e-16,8.514102438154269e-05,0.008684186290664258,0.0006011847168689902,-8.514102438179588e-05,1.7628,0.003389897308094112,0.3396106063687869,1.7628,1.7594101026919058,-2.5444597392470573e-16,0.00010904312538615923,0.011086720390706602,0.0007734679561648693,-0.00010904312538641367,-0.0698,-0.06604511779176421,-0.1472546422764173,-0.0698,-0.0037548822082357908,-3.012430107938394e-16,0.00017959835641309557,0.019154288950031628,0.0015276404916248906,-0.0001795983564133968,-0.0175,0.20072392587740076,-0.043828556912724984,-0.0175,-0.21822392587740075,-2.1004520461535527e-17,-0.0469898519581387,0.12726171053924076,-0.11197511827734646,0.04698985195813868,0.0,2.2810838316015073e-06,1.558177807629488e-07,1.2845758204572277e-05,-2.2810838316015073e-06
1,0.12000000000000009,0.2535943532907118,0.837199057361927,0.13271831967041153,-0.00035814275105424504,0.9422219517438216,0.5,7.216449660063538e-21,0.18988804936021708,-2.5319196332355315e-16,-0.0006784255520541364,-0.08368524399960872,-0.009365314485718625,0.0006784255520538833,1.7628,0.008657150687868088,0.6540414421404768,1.7628,1.7541428493121318,-2.5444597392470573e-16,-0.0008684688452068451,-0.10682779616470661,-0.011959065393797912,0.0008684688452065906,-0.0698,-0.06720017371267557,-0.09691036081704783,-0.0698,-0.0025998262873244277,-3.012430107938394e-16,-0.0014634331947259488,-0.186026688595046,-0.0205910758013388,0.0014634331947256476,-0.0175,0.20079608371170546,0.03956458529676511,-0.0175,-0.21829608371170545,-2.1004520461535527e-17,-0.04116049572658967,0.8917934981533778,0.24865710512586867,0.04116049572658965,0.0,7.949191793047692e-06,-0.0006742356118454751,0.0,-7.949191793047692e-06
2,0.1300000000000001,0.25240219147769133,0.8336681023034482,0.1382846027349334,0.0016101726314721346,0.9409963964710344,0.5,6.6613381477509605e-21,0.1898892912432217,-2.5319196332355315e-16,0.006914613808275051,0.8352833453621104,0.08911264841603979,-0.006914613808275304,1.7628,0.017459970350346382,1.015402243346081,1.7628,1.7453400296496535,-2.5444597392470573e-16,0.009257700889976718,1.0618385797450087,0.11377554692635934,-0.009257700889976973,-0.0698,-0.06793253230732318,-0.05860847255170551,-0.0698,-0.0018674676926768163,-3.012430107938394e-16,-0.004906873351664293,-0.034538669287466434,0.1977341541528512,0.004906873351663992,-0.0175,0.2008258888496074,-0.011503406315674048,-0.0175,-0.2183258888496074,-2.1004520461535527e-17,-0.03611752605816329,0.29577488485305226,-0.5625095323406606,0.03611752605816327,0.0,1.3256121394128724e-05,0.0004073502369240166,0.0006106420775010936,-1.3256121394128724e-05
3,0.1400000000000001,0.25284291955267646,0.8290510923406695,0.1453921390901084,0.0009697085658146753,0.9392752737515672,0.5,4.718447854656937e-21,0.1898901669089867,-2.5319196332355315e-16,0.0013629325048386456,-1.402102665202667,-0.8906002558283128,-0.0013629325048388988,1.7628,0.02904372291610194,1.2509335320963588,1.7628,1.733756277083898,-2.5444597392470573e-16,-0.0009874719387693155,-2.3218399747650507,-1.1359001868648244,0.0009874719387690612,-0.0698,-0.06835500157754419,-0.03233098028064799,-0.0698,-0.0014449984224558093,-3.012430107938394e-16,0.008348523897871959,1.8382703473873492,0.07379365610077837,-0.008348523897872261,-0.0175,0.2002585219785474,-0.07880985306527277,-0.0175,-0.2177585219785474,-2.1004520461535527e-17,-0.03333902301388082,0.2661955873577098,-0.006834676387746097,0.0333390230138808,0.0,2.4653064967529528e-06,-0.0008768988797859187,0.0,-2.4653064967529528e-06
4,0.1500000000000001,0.24962502676834486,0.8231441014823192,0.1543250903464683,0.0010386166989743227,0.9369342828792886,0.5,1.0547118733939009e-20,0.18989078353235644,-2.5319196332355315e-16,0.001683440622042118,0.9492269068206753,1.3911992051639557,-0.0016834406220423712,1.7628,0.043885506445278104,1.6370940375725855,1.7628,1.7189144935547218,-2.5444597392470573e-16,-0.001210116731854869,1.474693768406195,2.3297397502752033,0.0012101167318546147,-0.0698,-0.06855505465578583,-0.012816077646223313,-0.0698,-0.0012449453442141684,-3.012430107938394e-16,0.008687760926232831,-1.1339653643215866,-1.9050585385703274,-0.008687760926233133,-0.0175,0.1991780349402322,-0.1324511585141715,-0.0175,-0.2166780349402322,-2.1004520461535527e-17,-0.029704503402183627,0.3201599307419826,0.0005165967533365956,0.029704503402183606,0.0,5.402316853667707e-06,0.0002737835909912451,0.000857176427811895,-5.402316853667707e-06
5,0.16000000000000011,0.24726608722979193,0.816051487984117,0.16503809689042392,0.000274109115115095,0.9340286236403998,0.5,1.2989609388114334e-19,0.18989121739710704,-2.5319196332355315e-16,-0.0017094263562592216,-1.1560910829256776,-0.9626944317970143,0.0017094263562589683,1.7628,0.061730639476252194,1.88362196952502,1.7628,1.7010693605237477,-2.5444597392470573e-16,-0.008754074175975231,-2.2082613696327247,-1.465012834551358,0.008754074175974976,-0.0698,-0.06860659403455564,-0.0007085601818341081,-0.0698,-0.001193405965444358,-3.012430107938394e-16,0.015586035386957879,1.8675505263457404,1.0644632769117215,-0.01558603538695818,-0.0175,0.1986204651091204,-0.007419073905597432,-0.0175,-0.21612046510912042,-2.1004520461535527e-17,-0.028959520927225993,-0.06078556257546895,-0.08252390352451378,0.028959520927225972,0.0,-5.67399163187326e-07,-0.0004682231208937574,0.0,5.67399163187326e-07
6,0.17000000000000012,0.24667410698048672,0.8076110929645649,0.1776359707629864,0.0006464798786947701,0.9303756156671957,0.5,1.2989609388114334e-19,0.18989152252456556,-2.5319196332355315e-16,-0.001122312285289493,0.8215894851719177,1.1697664937757495,0.0011223122852892398,1.7628,0.082847926460786,2.261843937527234,1.7628,1.679952073539214,-2.5444597392470573e-16,-0.007283258281563557,1.6852454741045184,2.2782939630405243,0.007283258281563303,-0.0698,-0.06856079081297368,0.007484453128345756,-0.0698,-0.001239209187026316,-3.012430107938394e-16,0.016536694442793414,-1.0483142403518506,-1.9922388094414059,-0.016536694442793716,-0.0175,0.1982163181726866,-0.05404168482642682,-0.0175,-0.2157163181726866,-2.1004520461535527e-17,-0.02619508741374238,0.460403648122879,0.29246172999327674,0.02619508741374236,0.0,4.213081041513534e-06,0.00037435112059206767,0.000472762314199256,-4.213081041513534e-06
7,0.18000000000000013,0.24350614580041963,0.7978783679515103,0.1919554782430456,0.0002063824877488602,0.9259069679194579,0.5,2.9060087669563482e-19,0.18989173705343582,-2.5319196332355315e-16,-0.0033173080422498474,-0.8658519710919963,-0.8126109868896038,0.003317308042249594,1.7628,0.10698901247872206,2.5162820205961323,1.7628,1.6558109875212779,-2.5444597392470573e-16,-0.013555576546464995,-2.139828810888103,-1.626979407852012,0.01355557654646474,-0.0698,-0.06846025719579416,0.011415519278161656,-0.0698,-0.0013397428042058457,-3.012430107938394e-16,0.023964705187746876,1.897571084234587,0.9160206848095009,-0.023964705187747178,-0.0175,0.19804241860548577,0.01069380296910076,-0.0175,-0.21554241860548579,-2.1004520461535527e-17,-0.02462850368699644,-0.006873432077259448,-0.2508429488129401,0.024628503686996418,0.0,-1.1992650161037321e-06,-0.00042057283810956127,0.0,1.1992650161037321e-06
8,0.19000000000000014,0.24227005520743045,0.7866855818580567,0.2080657075475592,0.0008587949811420127,0.9204039247657765,0.5,4.057865155004948e-19,0.18989188785959205,-2.5319196332355315e-16,-0.0026648454473689478,0.6373903897933283,0.8923904354299931,0.0026648454473686945,1.7628,0.13441307748080977,2.891973547294496,1.7628,1.6283869225191903,-2.5444597392470573e-16,-0.010468455951856977,1.9126753705586361,2.2482734232598207,0.010468455951856722,-0.0698,-0.06833301529088108,0.013266183586422028,-0.0698,-0.0014669847091189209,-3.012430107938394e-16,0.025608165776901688,-0.9510564173851419,-2.0892887257365644,-0.02560816577690199,-0.0175,0.19771824453367434,-0.05118376973748505,-0.0175,-0.21521824453367433,-2.1004520461535527e-17,-0.02147335203064527,0.49162867634713914,0.2039014615732308,0.021473352030645248,0.0,3.803518975312596e-06,0.0003868324426894345,0.00043016695823839114,-3.803518975312596e-06
9,0.20000000000000015,0.23816134681096646,0.77407828987485,0.22581728538712736,0.0007267238240988906,0.9137846031171655,0.5,4.515832152662825e-19,0.1898919938610882,-2.5319196332355315e-16,-0.0038386376275896953,-0.5761402632015425,-0.6160716262143787,0.003838637627589442,1.7628,0.16491073316305213,3.155362098700071,1.7628,1.5978892668369478,-2.5444597392470573e-16,-0.015696556105804543,-2.1197927524862124,-1.8289277229437824,0.01569655610580429,-0.0698,-0.06820085139665216,0.013037444954496422,-0.0698,-0.0015991486033478386,-3.012430107938394e-16,0.03349688185832351,1.908184943074077,0.746191091169926,-0.03349688185832381,-0.0175,0.19752058707055148,0.010875570176621396,-0.0175,-0.2150205870705515,-2.1004520461535527e-17,-0.02069708255204265,-0.15936920310998492,-0.3198418601019771,0.02069708255204263,0.0,-1.3916431618151541e-06,-0.00040384757570871956,0.0,1.3916431618151541e-06
10,0.21000000000000016,0.23602994403722113,0.7598741949221495,0.24521236009212924,0.0016238028668168238,0.9057757278543745,0.5,4.723998969780042e-19,0.1898920683656195,-2.5319196332355315e-16,-0.003279223252845758,0.43647492195240495,0.6068493642222581,0.003279223252845505,1.7628,0.19874509525358172,3.534997533482828,1.7628,1.5640549047464183,-2.5444597392470573e-16,-0.011100326370984195,2.151757065687881,2.2453652013326466,0.01110032637098394,-0.0698,-0.0680761714639449,0.01194173038395054,-0.0698,-0.0017238285360550998,-3.012430107938394e-16,0.03582569843646545,-0.8434336338658545,-2.176159997940667,-0.03582569843646575,-0.0175,0.19685020334939124,-0.10155796617499084,-0.0175,-0.21435020334939126,-2.1004520461535527e-17,-0.01850015348263638,0.4259107679946203,0.32494586352632593,0.01850015348263636,0.0,3.5453520390614837e-06,0.0003750071409880241,0.0004149807210032408,-3.5453520390614837e-06
11,0.22000000000000017,0.23110473544085441,0.7441220116002765,0.26614411849207664,0.0017963472141954854,0.8963096799468264,0.5,4.951594689828199e-19,0.1898921207306925,-2.5319196332355315e-16,-0.003711695945840013,-0.32994607422645017,-0.4102411359296409,0.00371169594583976,1.7628,0.23572809396983538,3.8073733172391266,1.7628,1.5270719060301645,-2.5444597392470573e-16,-0.015366750435835342,-2.1178983443502384,-2.062954454720009,0.015366750435835087,-0.0698,-0.06796808812734494,0.010024168271052444,-0.0698,-0.0018319118726550648,-3.012430107938394e-16,0.04421883985152605,1.9204140279508275,0.5568280463741284,-0.044218839851526345,-0.0175,0.19651472182544863,0.01646539389405782,-0.0175,-0.21401472182544862,-2.1004520461535527e-17,-0.018201244694681967,-0.1997548479554096,-0.2779095401335294,0.018201244694681946,0.0,-1.4480149909858234e-06,-0.0003844477115411484,0.0,1.4480149909858234e-06
12,0.23000000000000018,0.2280523148338928,0.7266409204384673,0.28857130737971154,0.0029223026222731153,0.8850873785625202,0.5,5.082045895221654e-19,0.18989215753469807,-2.5319196332355315e-16,-0.0033184523429732548,0.25831116199888393,0.35963964179316826,0.0033184523429730015,1.7628,0.27612835575899886,4.195344971118664,1.7628,1.486671644241001,-2.5444597392470573e-16,-0.009326922637980371,2.388430576436633,2.240832347836919,0.009326922637980116,-0.0698,-0.06787965515383389,0.008008165836226837,-0.0698,-0.0019203448461661138,-3.012430107938394e-16,0.047287480062437166,-0.7290547551866182,-2.2741647467630384,-0.047287480062437465,-0.0175,0.19603842185240292,-0.07550391957794314,-0.0175,-0.2135384218524029,-2.1004520461535527e-17,-0.01640471853646769,0.3857073930985033,0.3453648055128652,0.016404718536467668,0.0,3.2101828657719555e-06,0.0003525622760893295,0.000396031831469035,-3.2101828657719555e-06
13,0.24000000000000019,0.22230889933778675,0.707450638690479,0.3123435438764229,0.0033842602348379304,0.8719918883139454,0.5,5.603850716795477e-19,0.18989218340170197,-2.5319196332355315e-16,-0.003311656893338795,-0.15196636834950372,-0.23176354325509993,0.0033116568933385417,1.7628,0.3197705506333233,4.4767294655836585,1.7628,1.4430294493666767,-2.5444597392470573e-16,-0.012637265158530395,-2.1122086902323294,-2.313815195332792,0.01263726515853014,-0.0698,-0.06781359730762618,0.005701103032264413,-0.0698,-0.001986402692373823,-3.012430107938394e-16,0.056246749762554935,1.9398025273162038,0.3507549146871185,-0.05624674976255523,-0.0175,0.19603150703158823,0.056590724656394975,-0.0175,-0.21353150703158824,-2.1004520461535527e-17,-0.016521184946171236,-0.24719949662934776,-0.254469644806762,0.016521184946171216,0.0,-1.4157108548117104e-06,-0.00035532719450965584,0.0,1.4157108548117104e-06
14,0.25000000000000017,0.21840820394526106,0.6863644160014309,0.33733330585381055,0.004723798604209878,0.856685530804058,0.5,5.773159728050813e-19,0.18989220158181513,-2.5319196332355315e-16,-0.0031059872912095592,0.12210744233132735,0.17845962349621206,0.003105987291209306,1.7628,0.36694243703262486,4.878253958965494,1.7628,1.395857562967375,-2.5444597392470573e-16,-0.00522423086787876,2.6084870818285695,2.2133068115005705,0.005224230867878506,-0.0698,-0.06776797588171689,0.0037935692178522303,-0.0698,-0.002032024118283113,-3.012430107938394e-16,0.060093879777870896,-0.6141209541221082,-2.3897765254166456,-0.060093879777871194,-0.0175,0.19589776850098412,-0.045159780082800444,-0.0175,-0.21339776850098413,-2.1004520461535527e-17,-0.015093616440751722,0.3559436128626494,0.37936897619871746,0.015093616440751701,0.0,2.9428367440034088e-06,0.00032929837211051504,0.00036665288134814954,-2.9428367440034088e-06
